2025-04-04 02:07:31,425 INFO    MainThread:7144 [wandb_run.py:_console_start():2375] atexit reg
2025-04-04 02:07:31,425 INFO    MainThread:7144 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-04 02:07:31,425 INFO    MainThread:7144 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-04 02:07:31,425 INFO    MainThread:7144 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-04 02:07:31,428 INFO    MainThread:7144 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-04 02:07:31,428 INFO    MainThread:7144 [wandb_config.py:__setitem__():154] config set opt = {'weights': 'yolov7.pt', 'cfg': 'C:/Users/kunal/OneDrive/Desktop/yolov8/cfg/training/yolov7.yaml', 'data': 'C:/Users/kunal/OneDrive/Desktop/yolov8/data/custom_data.yaml', 'hyp': {'lr0': 0.08, 'lrf': 0.08, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.3, 'cls_pw': 1.0, 'obj': 0.7, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.2, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'paste_in': 0.0, 'loss_ota': 1}, 'epochs': 123, 'batch_size': 6, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 6, 'project': 'runs/train', 'entity': None, 'name': 'yolov7-custom', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'freeze': [0], 'v5_metric': False, 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs\\train\\yolov7-custom3', 'total_batch_size': 6} - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000026C81FB5FD0>>
2025-04-04 02:07:31,428 INFO    MainThread:7144 [wandb_run.py:_config_callback():1261] config_cb opt {'weights': 'yolov7.pt', 'cfg': 'C:/Users/kunal/OneDrive/Desktop/yolov8/cfg/training/yolov7.yaml', 'data': 'C:/Users/kunal/OneDrive/Desktop/yolov8/data/custom_data.yaml', 'hyp': {'lr0': 0.08, 'lrf': 0.08, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.3, 'cls_pw': 1.0, 'obj': 0.7, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.2, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'paste_in': 0.0, 'loss_ota': 1}, 'epochs': 123, 'batch_size': 6, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 6, 'project': 'runs/train', 'entity': None, 'name': 'yolov7-custom', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'freeze': [0], 'v5_metric': False, 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs\\train\\yolov7-custom3', 'total_batch_size': 6} None
2025-04-04 02:07:31,428 INFO    MainThread:7144 [wandb_config.py:__setitem__():154] config set data_dict = {'train': './data/train', 'val': './data/val', 'nc': 4, 'names': ['Gun', 'rifle', 'knife', 'baseball']} - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000026C81FB5FD0>>
2025-04-04 02:07:31,428 INFO    MainThread:7144 [wandb_run.py:_config_callback():1261] config_cb data_dict {'train': './data/train', 'val': './data/val', 'nc': 4, 'names': ['Gun', 'rifle', 'knife', 'baseball']} None
2025-04-04 02:47:04,064 INFO    MainThread:7144 [wandb_run.py:_config_callback():1261] config_cb None None {'_wandb': {'bounding_box/class_labels': {'Bounding Box Debugger/Images_wandb_delimeter_predictions': {'type': 'bounding_box/class_labels', 'key': 'Bounding Box Debugger/Images_wandb_delimeter_predictions', 'value': {0: 'Gun', 1: 'rifle', 2: 'knife', 3: 'baseball'}}}}, 'weights': 'yolov7.pt', 'cfg': 'C:/Users/kunal/OneDrive/Desktop/yolov8/cfg/training/yolov7.yaml', 'data': 'C:/Users/kunal/OneDrive/Desktop/yolov8/data/custom_data.yaml', 'hyp': {'lr0': 0.08, 'lrf': 0.08, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.3, 'cls_pw': 1.0, 'obj': 0.7, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.2, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'paste_in': 0.0, 'loss_ota': 1}, 'epochs': 123, 'batch_size': 6, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 6, 'project': 'runs/train', 'entity': None, 'name': 'yolov7-custom', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'freeze': [0], 'v5_metric': False, 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs\\train\\yolov7-custom3', 'total_batch_size': 6, 'opt': {'weights': 'yolov7.pt', 'cfg': 'C:/Users/kunal/OneDrive/Desktop/yolov8/cfg/training/yolov7.yaml', 'data': 'C:/Users/kunal/OneDrive/Desktop/yolov8/data/custom_data.yaml', 'hyp': {'lr0': 0.08, 'lrf': 0.08, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.3, 'cls_pw': 1.0, 'obj': 0.7, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.2, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'paste_in': 0.0, 'loss_ota': 1}, 'epochs': 123, 'batch_size': 6, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 6, 'project': 'runs/train', 'entity': None, 'name': 'yolov7-custom', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'freeze': [0], 'v5_metric': False, 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs\\train\\yolov7-custom3', 'total_batch_size': 6}, 'data_dict': {'train': './data/train', 'val': './data/val', 'nc': 4, 'names': ['Gun', 'rifle', 'knife', 'baseball']}}
